THONG KE TONG HOP
Tram,Nhiet_do_TB,Nhiet_do_Std,Nhiet_do_Max,Nhiet_do_Min,Do_am_TB,Do_am_Std,Do_am_Max,Do_am_Min,Mua_TB,Mua_Std,Mua_Max,Mua_Min,Tong_mua,So_ngay_nong,So_ngay_mua_lon
BAC,24.28,7.62,37.66,12.14,67.94,15.88,94.50,40.30,97.14,56.53,179.90,2.00,17486.00,21,137
NAM,27.99,6.06,39.78,18.32,70.86,15.24,97.80,45.20,110.25,64.66,219.50,2.40,19845.40,29,142

CHI TIET TUNG NGAY
date,temp_bac,temp_nam,humidity_bac,humidity_nam,rainfall_bac,rainfall_nam,loai_bac,loai_nam
2025-04-12,28.55,25.09,58.60,45.20,116.90,119.20,Bien dong manh,Bien dong manh
2025-04-13,20.17,22.65,60.70,62.70,134.30,192.00,Bien dong manh,Bien dong manh
2025-04-14,25.22,25.20,45.20,66.10,105.00,161.10,Bien dong manh,Canh bao
2025-04-15,35.60,20.63,71.80,73.50,173.20,177.40,Bien dong manh,Canh bao
2025-04-16,18.48,37.59,42.00,93.80,67.50,144.90,Bien dong manh,Bien dong manh
2025-04-17,22.67,31.06,65.60,63.40,51.40,152.30,Bien dong manh,Bien dong manh
2025-04-18,31.64,32.94,69.80,63.40,156.30,186.80,Bien dong manh,Canh bao
2025-04-19,17.95,35.36,55.80,84.10,40.20,54.90,Bien dong manh,Bien dong manh
2025-04-20,14.00,28.97,72.50,69.00,173.40,107.70,Bien dong manh,Bien dong manh
2025-04-21,19.53,19.91,41.70,56.90,2.20,48.70,Bien dong manh,Bien dong manh
2025-04-22,16.19,29.82,42.10,69.00,174.60,217.30,Bien dong manh,Bien dong manh
2025-04-23,36.17,30.91,85.20,52.50,7.80,207.70,Bien dong manh,Bien dong manh
2025-04-24,33.01,34.40,59.80,54.30,160.40,8.70,Bien dong manh,Bien dong manh
2025-04-25,28.47,27.50,47.00,71.40,95.00,155.20,Bien dong manh,Bien dong manh
2025-04-26,34.66,20.81,68.70,67.20,178.70,203.60,Bien dong manh,Bien dong manh
2025-04-27,32.90,24.24,82.30,93.50,13.30,39.70,Bien dong manh,Bien dong manh
2025-04-28,16.85,25.99,51.90,64.20,99.70,124.90,Bien dong manh,Bien dong manh
2025-04-29,35.21,32.21,74.30,75.80,174.50,201.40,Bien dong manh,Bien dong manh
2025-04-30,26.02,30.56,44.70,78.50,94.20,7.50,Bien dong manh,Bien dong manh
2025-05-01,32.99,25.83,42.80,45.70,113.30,153.40,Canh bao,Bien dong manh
2025-05-02,35.30,39.70,69.20,80.20,125.20,65.40,Bien dong manh,Bien dong manh
2025-05-03,20.27,31.33,69.70,54.40,81.80,203.40,Bien dong manh,Bien dong manh
2025-05-04,14.86,23.22,75.10,95.90,113.00,213.60,Canh bao,Bien dong manh
2025-05-05,17.93,20.24,79.90,52.90,105.20,207.70,Canh bao,Bien dong manh
2025-05-06,23.10,21.36,93.70,67.00,162.20,104.30,Bien dong manh,Bien dong manh
2025-05-07,33.27,23.41,68.40,49.50,8.20,189.60,Bien dong manh,Bien dong manh
2025-05-08,34.38,21.53,57.80,97.80,50.60,185.80,Bien dong manh,Bien dong manh
2025-05-09,12.18,22.10,83.70,71.60,171.10,70.20,Bien dong manh,Bien dong manh
2025-05-10,25.28,24.27,54.90,76.60,160.20,182.40,Bien dong manh,Bien dong manh
2025-05-11,22.85,21.81,64.10,48.60,82.00,8.10,Bien dong manh,Bien dong manh
2025-05-12,17.77,37.73,44.30,84.70,111.60,131.20,Bien dong manh,Bien dong manh
2025-05-13,15.12,19.77,41.40,56.10,49.90,50.60,Bien dong manh,Bien dong manh
2025-05-14,20.78,29.54,92.90,92.60,33.90,26.50,Bien dong manh,Bien dong manh
2025-05-15,36.52,27.03,86.00,55.90,83.50,16.90,Bien dong manh,Bien dong manh
2025-05-16,20.40,39.61,78.30,55.10,63.60,153.20,Bien dong manh,Bien dong manh
2025-05-17,25.49,20.46,62.50,46.90,105.10,74.80,Bien dong manh,Bien dong manh
2025-05-18,30.28,26.75,49.50,70.00,14.00,159.40,Bien dong manh,Bien dong manh
2025-05-19,21.45,39.33,48.60,74.90,175.40,14.40,Bien dong manh,Bien dong manh
2025-05-20,37.27,37.04,53.80,48.50,177.50,69.40,Bien dong manh,Bien dong manh
2025-05-21,37.02,35.98,70.20,86.10,125.70,118.70,Bien dong manh,Bien dong manh
2025-05-22,18.55,23.67,79.30,69.00,96.50,174.00,Bien dong manh,Bien dong manh
2025-05-23,24.93,21.76,76.30,72.80,55.70,70.10,Bien dong manh,Bien dong manh
2025-05-24,19.82,32.71,55.40,68.40,146.50,137.70,Bien dong manh,Bien dong manh
2025-05-25,19.41,38.45,92.50,66.20,123.30,194.90,Bien dong manh,Bien dong manh
2025-05-26,12.96,30.25,80.60,74.70,29.30,135.50,Bien dong manh,Bien dong manh
2025-05-27,27.85,30.58,70.50,53.20,164.00,51.30,Bien dong manh,Bien dong manh
2025-05-28,25.07,24.16,73.60,54.60,148.10,5.40,Canh bao,Bien dong manh
2025-05-29,13.34,34.93,63.10,90.70,171.00,191.40,Bien dong manh,Bien dong manh
2025-05-30,19.24,22.11,53.60,95.10,130.60,4.70,Bien dong manh,Bien dong manh
2025-05-31,35.61,25.12,59.60,64.80,110.40,192.40,Bien dong manh,Bien dong manh
2025-06-01,18.23,27.36,81.70,59.30,75.30,116.40,Bien dong manh,Bien dong manh
2025-06-02,15.77,29.17,40.80,79.10,167.90,206.60,Bien dong manh,Bien dong manh
2025-06-03,24.73,23.33,46.40,66.70,155.90,175.70,Bien dong manh,Canh bao
2025-06-04,37.63,20.53,42.50,46.30,8.10,219.50,Bien dong manh,Bien dong manh
2025-06-05,18.29,31.43,42.20,53.30,4.70,77.20,Bien dong manh,Bien dong manh
2025-06-06,29.48,24.35,87.10,82.90,67.80,168.80,Bien dong manh,Bien dong manh
2025-06-07,31.80,30.79,78.70,79.90,145.90,88.40,Bien dong manh,Bien dong manh
2025-06-08,18.18,21.40,66.10,46.40,177.70,105.60,Bien dong manh,Bien dong manh
2025-06-09,30.93,28.59,45.40,56.80,27.10,138.10,Bien dong manh,Canh bao
2025-06-10,21.56,29.72,67.00,57.20,106.90,192.20,Bien dong manh,Bien dong manh
2025-06-11,28.44,19.14,66.00,80.60,68.60,216.50,Canh bao,Bien dong manh
2025-06-12,28.47,25.41,49.50,46.00,174.60,169.00,Bien dong manh,Bien dong manh
2025-06-13,25.93,20.96,63.90,50.50,151.60,91.90,Canh bao,Bien dong manh
2025-06-14,14.35,19.39,61.90,87.40,150.90,92.70,Bien dong manh,Bien dong manh
2025-06-15,33.72,39.78,73.90,54.50,84.40,162.30,Bien dong manh,Bien dong manh
2025-06-16,20.34,25.09,74.90,79.60,74.70,52.50,Bien dong manh,Bien dong manh
2025-06-17,16.85,35.82,42.50,57.60,49.20,24.30,Bien dong manh,Bien dong manh
2025-06-18,13.06,23.60,60.60,50.30,10.10,78.00,Bien dong manh,Bien dong manh
2025-06-19,27.36,32.99,74.40,57.90,155.70,63.20,Bien dong manh,Bien dong manh
2025-06-20,29.62,34.73,67.70,83.30,146.30,65.20,Canh bao,Bien dong manh
2025-06-21,12.43,31.10,87.10,90.40,179.90,51.40,Bien dong manh,Canh bao
2025-06-22,25.31,28.37,76.20,89.00,179.40,9.30,Bien dong manh,Bien dong manh
2025-06-23,17.89,27.06,49.00,66.10,100.00,3.90,Bien dong manh,Bien dong manh
2025-06-24,28.77,25.68,43.90,80.40,138.40,217.30,Bien dong manh,Bien dong manh
2025-06-25,16.53,38.45,75.30,55.90,170.10,94.10,Bien dong manh,Bien dong manh
2025-06-26,29.96,36.27,41.50,60.50,152.90,84.60,Bien dong manh,Canh bao
2025-06-27,22.06,39.23,72.20,92.50,44.50,149.50,Bien dong manh,Bien dong manh
2025-06-28,36.35,20.73,91.70,45.70,81.10,48.00,Bien dong manh,Bien dong manh
2025-06-29,15.58,34.08,71.70,49.50,23.20,209.00,Bien dong manh,Bien dong manh
